EventID,Coincidence,HitTop,HitMiddle,HitBottom,Decay,DecayTime_ns
0,NONE,0,0,0,False,-1
1,SINGLE,1,0,0,False,-1
2,SINGLE,0,0,1,False,-1
3,DOUBLE,1,1,0,False,-1
4,SINGLE,0,0,1,False,-1
5,DOUBLE,1,1,0,False,-1
6,DOUBLE,1,1,0,False,-1
7,DOUBLE,1,1,0,False,-1
8,NONE,0,0,0,False,-1
9,DOUBLE,1,1,0,False,-1
10,NONE,0,0,0,False,-1
11,NONE,0,0,0,False,-1
12,NONE,0,0,0,False,-1
13,NONE,0,0,0,False,-1
14,NONE,0,0,0,False,-1
15,SINGLE,0,1,0,False,-1
16,NONE,0,0,0,False,-1
17,NONE,0,0,0,False,-1
18,NONE,0,0,0,False,-1
19,NONE,0,0,0,False,-1
20,NONE,0,0,0,False,-1
21,DOUBLE,1,1,0,False,-1
22,DOUBLE,1,1,0,False,-1
23,NONE,0,0,0,False,-1
24,NONE,0,0,0,False,-1
25,NONE,0,0,0,False,-1
26,DOUBLE,1,1,0,False,-1
27,DOUBLE,1,1,0,False,-1
28,NONE,0,0,0,False,-1
29,NONE,0,0,0,False,-1
30,NONE,0,0,0,False,-1
31,NONE,0,0,0,False,-1
32,NONE,0,0,0,False,-1
33,DOUBLE,1,1,0,False,-1
34,NONE,0,0,0,False,-1
35,NONE,0,0,0,False,-1
36,NONE,0,0,0,False,-1
37,NONE,0,0,0,False,-1
38,NONE,0,0,0,False,-1
39,NONE,0,0,0,False,-1
40,SINGLE,1,0,0,False,-1
41,NONE,0,0,0,False,-1
42,NONE,0,0,0,False,-1
43,NONE,0,0,0,False,-1
44,NONE,0,0,0,False,-1
45,NONE,0,0,0,False,-1
46,NONE,0,0,0,False,-1
47,DOUBLE,1,1,0,False,-1
48,NONE,0,0,0,False,-1
49,NONE,0,0,0,False,-1
50,DOUBLE,1,1,0,False,-1
51,NONE,0,0,0,False,-1
52,NONE,0,0,0,False,-1
53,NONE,0,0,0,False,-1
54,DOUBLE,1,1,0,False,-1
55,NONE,0,0,0,False,-1
56,DOUBLE,1,1,0,False,-1
57,NONE,0,0,0,False,-1
58,NONE,0,0,0,False,-1
59,NONE,0,0,0,False,-1
60,SINGLE,1,0,0,False,-1
61,NONE,0,0,0,False,-1
62,NONE,0,0,0,False,-1
63,DOUBLE,1,1,0,False,-1
64,NONE,0,0,0,False,-1
65,NONE,0,0,0,False,-1
66,DOUBLE,1,1,0,False,-1
67,NONE,0,0,0,False,-1
68,NONE,0,0,0,False,-1
69,NONE,0,0,0,False,-1
70,NONE,0,0,0,False,-1
71,NONE,0,0,0,False,-1
72,DOUBLE,1,1,0,False,-1
73,DOUBLE,1,1,0,False,-1
74,NONE,0,0,0,False,-1
75,NONE,0,0,0,False,-1
76,NONE,0,0,0,False,-1
77,SINGLE,0,1,0,False,-1
78,NONE,0,0,0,False,-1
79,NONE,0,0,0,False,-1
80,SINGLE,0,0,1,False,-1
81,DOUBLE,1,1,0,False,-1
82,NONE,0,0,0,False,-1
83,DOUBLE,1,1,0,False,-1
84,NONE,0,0,0,False,-1
85,NONE,0,0,0,False,-1
86,DOUBLE,1,1,0,False,-1
87,NONE,0,0,0,False,-1
88,NONE,0,0,0,False,-1
89,NONE,0,0,0,False,-1
90,NONE,0,0,0,False,-1
91,NONE,0,0,0,False,-1
92,NONE,0,0,0,False,-1
93,NONE,0,0,0,False,-1
94,NONE,0,0,0,False,-1
95,SINGLE,0,1,0,False,-1
96,NONE,0,0,0,False,-1
97,NONE,0,0,0,False,-1
98,NONE,0,0,0,False,-1
99,SINGLE,0,0,1,False,-1
100,NONE,0,0,0,False,-1
101,NONE,0,0,0,False,-1
102,NONE,0,0,0,False,-1
103,SINGLE,1,0,0,False,-1
104,NONE,0,0,0,False,-1
105,DOUBLE,1,1,0,False,-1
106,NONE,0,0,0,False,-1
107,NONE,0,0,0,False,-1
108,SINGLE,1,0,0,False,-1
109,NONE,0,0,0,False,-1
110,SINGLE,1,0,0,False,-1
111,NONE,0,0,0,False,-1
112,NONE,0,0,0,False,-1
113,NONE,0,0,0,False,-1
114,SINGLE,1,0,0,False,-1
115,NONE,0,0,0,False,-1
116,NONE,0,0,0,False,-1
117,DOUBLE,1,1,0,False,-1
118,SINGLE,0,0,1,False,-1
119,SINGLE,0,0,1,False,-1
120,SINGLE,0,1,0,False,-1
121,SINGLE,0,0,1,False,-1
122,NONE,0,0,0,False,-1
123,NONE,0,0,0,False,-1
124,NONE,0,0,0,False,-1
125,NONE,0,0,0,False,-1
126,NONE,0,0,0,False,-1
127,NONE,0,0,0,False,-1
128,NONE,0,0,0,False,-1
129,NONE,0,0,0,False,-1
130,SINGLE,0,1,0,False,-1
131,NONE,0,0,0,False,-1
132,NONE,0,0,0,False,-1
133,NONE,0,0,0,False,-1
134,NONE,0,0,0,False,-1
135,NONE,0,0,0,False,-1
136,NONE,0,0,0,False,-1
137,NONE,0,0,0,False,-1
138,NONE,0,0,0,False,-1
139,DOUBLE,1,1,0,False,-1
140,NONE,0,0,0,False,-1
141,SINGLE,1,0,0,False,-1
142,NONE,0,0,0,False,-1
143,NONE,0,0,0,False,-1
144,DOUBLE,1,1,0,False,-1
145,NONE,0,0,0,False,-1
146,NONE,0,0,0,False,-1
147,NONE,0,0,0,False,-1
148,NONE,0,0,0,False,-1
149,DOUBLE,1,1,0,False,-1
150,NONE,0,0,0,False,-1
151,DOUBLE,1,1,0,False,-1
152,SINGLE,0,0,1,False,-1
153,NONE,0,0,0,False,-1
154,DOUBLE,1,1,0,False,-1
155,DOUBLE,1,1,0,False,-1
156,SINGLE,0,1,0,False,-1
157,NONE,0,0,0,False,-1
158,NONE,0,0,0,False,-1
159,NONE,0,0,0,False,-1
160,NONE,0,0,0,False,-1
161,NONE,0,0,0,False,-1
162,NONE,0,0,0,False,-1
163,SINGLE,0,1,0,False,-1
164,NONE,0,0,0,False,-1
165,DOUBLE,1,1,0,False,-1
166,NONE,0,0,0,False,-1
167,NONE,0,0,0,False,-1
168,DOUBLE,1,1,0,False,-1
169,SINGLE,0,1,0,False,-1
170,NONE,0,0,0,False,-1
171,DOUBLE,1,1,0,False,-1
172,NONE,0,0,0,False,-1
173,NONE,0,0,0,False,-1
174,NONE,0,0,0,False,-1
175,NONE,0,0,0,False,-1
176,NONE,0,0,0,False,-1
177,NONE,0,0,0,False,-1
178,SINGLE,0,0,1,False,-1
179,NONE,0,0,0,False,-1
180,SINGLE,1,0,0,False,-1
181,DOUBLE,1,1,0,False,-1
182,NONE,0,0,0,False,-1
183,NONE,0,0,0,False,-1
184,NONE,0,0,0,False,-1
185,NONE,0,0,0,False,-1
186,DOUBLE,1,1,0,False,-1
187,NONE,0,0,0,False,-1
188,NONE,0,0,0,False,-1
189,DOUBLE,1,1,0,False,-1
190,NONE,0,0,0,False,-1
191,NONE,0,0,0,False,-1
192,NONE,0,0,0,False,-1
193,DOUBLE,1,1,0,False,-1
194,DOUBLE,1,1,0,False,-1
